subset,endpoint,stratum_or_contrast,effect,n,patients,events,estimate,ci_low,ci_high,n_boot,n_boot_valid,seed
principal24,pressor24,Intermediate_minus_Low,absolute_difference,35051,19150,796,0.039618190039519295,0.03400376886834301,0.04549054456500047,2000,2000,202609072
principal24,pressor24,Total,proportion,35051,19150,796,0.02270976576987818,0.020988999002981838,0.024450255982312204,2000,2000,202609072
secondary72,icu72,Low,proportion,26973,16023,2251,0.08345382419456493,0.079751960459907,0.0872323047251964,2000,2000,202609080
secondary72,icu72,Intermediate,proportion,6985,4544,1954,0.2797423049391553,0.26851864334946224,0.29161910508849187,2000,2000,202609080
secondary72,icu72,High,proportion,1629,1254,806,0.49478207489257214,0.46614674619084684,0.5216037752689375,2000,2000,202609080
secondary72,icu72,High_minus_Low,absolute_difference,35587,19383,5011,0.4113282506980072,0.38265596556922116,0.43778097351261513,2000,2000,202609080
secondary72,icu72,Intermediate_minus_Low,absolute_difference,35587,19383,5011,0.19628848074459038,0.18478855846615597,0.20894871605731508,2000,2000,202609080
secondary72,icu72,Total,proportion,35587,19383,5011,0.14080984629218535,0.13648765973147353,0.14514978882715457,2000,2000,202609080
secondary72,imv72,Low,proportion,26756,15913,443,0.01655703393631335,0.014880894836666297,0.018150789600840718,2000,2000,202609081
secondary72,imv72,Intermediate,proportion,6749,4424,505,0.0748259001333531,0.0681777410209635,0.08170132042743887,2000,2000,202609081
secondary72,imv72,High,proportion,1544,1190,315,0.20401554404145078,0.18269007304116866,0.2259416927103733,2000,2000,202609081
secondary72,imv72,High_minus_Low,absolute_difference,35049,19148,1263,0.18745851010513742,0.16639281151820848,0.209512235003225,2000,2000,202609081
secondary72,imv72,Intermediate_minus_Low,absolute_difference,35049,19148,1263,0.05826886619703975,0.05154942461307002,0.0652992816836614,2000,2000,202609081
secondary72,imv72,Total,proportion,35049,19148,1263,0.03603526491483352,0.03383016251054401,0.03819536038452435,2000,2000,202609081
secondary72,pressor72,Low,proportion,26756,15913,301,0.011249813126027807,0.009918896761178688,0.012585561495987144,2000,2000,202609082
secondary72,pressor72,Intermediate,proportion,6751,4426,388,0.057472966967856615,0.05139608305184904,0.06357974389496764,2000,2000,202609082
secondary72,pressor72,High,proportion,1544,1190,269,0.17422279792746115,0.15484279409852147,0.19450260268736427,2000,2000,202609082
secondary72,pressor72,High_minus_Low,absolute_difference,35051,19150,958,0.16297298480143335,0.14381007872004845,0.18354834441819465,2000,2000,202609082
secondary72,pressor72,Intermediate_minus_Low,absolute_difference,35051,19150,958,0.046223153841828804,0.040076642099725036,0.05232366297789881,2000,2000,202609082
secondary72,pressor72,Total,proportion,35051,19150,958,0.027331602522039315,0.025445788950943172,0.029263682468874994,2000,2000,202609082
first_parent24,icu24,Low,proportion,14981,14981,1222,0.08156998865229291,0.07730948156942864,0.08595894137156314,2000,2000,202609090
first_parent24,icu24,Intermediate,proportion,3553,3553,1063,0.299183788347875,0.28403396982114937,0.31383770118667037,2000,2000,202609090
first_parent24,icu24,High,proportion,836,836,455,0.5442583732057417,0.511023654872316,0.5776982464812551,2000,2000,202609090
first_parent24,icu24,High_minus_Low,absolute_difference,19370,19370,2740,0.46268838455344874,0.42904627118194466,0.4962093222498826,2000,2000,202609090
first_parent24,icu24,Intermediate_minus_Low,absolute_difference,19370,19370,2740,0.2176137996955821,0.20227995862155007,0.23311017964117287,2000,2000,202609090
