lead,time_from_QRS_s,high_risk_median_mV,low_risk_median_mV,high_risk_mean_absolute_IG,high_risk_n,low_risk_n
V1,0.58,0.0018468095222488046,0.002223632181994617,9.916370603477093e-05,507,1022
V1,0.59,0.003762345528230071,0.0013612258408102207,0.00010157544114510897,507,1022
V2,-0.4,0.016667225630953908,0.0019453217755653895,8.3228620792821e-05,507,1022
V2,-0.39,0.014599290676414967,0.00034917583889182424,8.795730926306372e-05,507,1022
V2,-0.38,0.014130011200904846,-0.00017664939514361322,8.107342061783589e-05,507,1022
V2,-0.37,0.014208503067493439,-0.0006564246723428369,7.870072386021064e-05,507,1022
V2,-0.36,0.014462794177234173,-0.0012337330263108015,7.742851013402715e-05,507,1022
V2,-0.35,0.014063777402043343,-0.002914379583671689,7.36366127248472e-05,507,1022
V2,-0.34,0.011950742453336716,-0.0037636288616340607,7.052905942945005e-05,507,1022
V2,-0.33,0.012274408712983131,-0.006003160960972309,6.986662612972218e-05,507,1022
V2,-0.32,0.010969972994644195,-0.007971381768584251,6.812217472561998e-05,507,1022
V2,-0.31,0.011009815149009228,-0.009965887758880854,6.409986940612166e-05,507,1022
V2,-0.3,0.010858944617211819,-0.010215245885774493,5.984072543056675e-05,507,1022
V2,-0.29,0.009300261735916138,-0.011947509832680225,5.807769362924802e-05,507,1022
V2,-0.28,0.007504815817810595,-0.012602841015905142,5.6141004606098126e-05,507,1022
V2,-0.27,0.008296995423734188,-0.013630744069814682,5.295245021932872e-05,507,1022
V2,-0.26,0.007365596015006304,-0.013910211157053709,5.065407983666518e-05,507,1022
V2,-0.25,0.004937305115163326,-0.014983986504375935,4.998147807481824e-05,507,1022
V2,-0.24,0.0037757554091513157,-0.014611897524446249,4.8520876352888663e-05,507,1022
V2,-0.23,0.002721094060689211,-0.015656364848837256,4.727243724118173e-05,507,1022
V2,-0.22,0.000876300036907196,-0.015803604619577527,4.583384123227473e-05,507,1022
V2,-0.21,-0.000445774481704575,-0.0160659896209836,4.2968518852298236e-05,507,1022
V2,-0.2,-0.001764649641700089,-0.015040175756439567,4.026939666026351e-05,507,1022
V2,-0.19,-0.0025496340822428465,-0.014397669117897749,3.7989102881527684e-05,507,1022
V2,-0.18,-0.003609747735026758,-0.015542823821306229,3.690477307163815e-05,507,1022
