lead,time_from_QRS_s,high_pointwise_2.5pct,high_pointwise_97.5pct,low_pointwise_2.5pct,low_pointwise_97.5pct,difference_pointwise_2.5pct,difference_pointwise_97.5pct,IG_pointwise_2.5pct,IG_pointwise_97.5pct
aVF,0.52,-0.008417605189606547,-0.001326348981820047,-0.002488613563764375,0.0004865356895606965,-0.00726616345164075,0.0006098000067140647,3.585176489808236e-05,4.436526969795894e-05
aVF,0.53,-0.010135040618479252,-0.0027775662427302495,-0.002999264048412442,-0.00016555628230321566,-0.00910468289803248,-0.0008882892489054957,3.5408821738175434e-05,4.2267222480570025e-05
aVF,0.54,-0.010137284609663766,-0.0025517335161566734,-0.00503580248914659,-0.0017159285489469767,-0.007349963078740984,0.00100242544140201,3.57118526464699e-05,4.339734464205749e-05
aVF,0.55,-0.011953446373809129,-0.005876967879885342,-0.00571396182931494,-0.0020964850293239586,-0.008931219307123683,-0.001201677983044647,3.711557075241058e-05,4.463579302647368e-05
aVF,0.56,-0.013692622509552166,-0.005513555042853113,-0.007027578155975789,-0.003317480682744648,-0.009320177126210184,0.00048548382765147604,3.816571643057811e-05,4.563789593749655e-05
aVF,0.57,-0.01368534006178379,-0.005141492577968172,-0.008726844523334876,-0.0053712507969066875,-0.007105279857933055,0.002346457421663216,3.591350037312491e-05,4.246601031683973e-05
aVF,0.58,-0.014804007750353777,-0.0068504943657899334,-0.009971434959879844,-0.0055668678636720875,-0.007977070671768161,0.0009702302748337377,3.4218351265887556e-05,4.0726294941280386e-05
aVF,0.59,-0.014757371507585049,-0.007133668754249811,-0.010042990557849407,-0.006082626304123555,-0.008117843617219478,0.0005579573364229867,3.330835948187989e-05,4.0071272243551626e-05
V1,-0.4,0.0037955400097416715,0.013051211347919887,0.004558096639811993,0.008910379372537136,-0.0034023073501884935,0.0071052735234843544,7.1524414234187e-05,8.95603447228462e-05
V1,-0.39,0.0032069154549390078,0.01133970590308308,0.004761804477311671,0.00832354393787682,-0.0038565755123272536,0.005340670433361083,6.486386990251843e-05,8.010070308188252e-05
V1,-0.38,0.0012245884565345478,0.009756215149536729,0.004496678314171732,0.00826147198677063,-0.0058131749072344975,0.004019501384118484,6.115633142919828e-05,7.600694067722789e-05
V1,-0.37,0.00021398238536676222,0.007697278168052435,0.004438453511102125,0.008395396394189446,-0.006075208328547887,0.0021439531992655247,6.126610937953919e-05,7.439658037662311e-05
V1,-0.36,0.0019194713240722194,0.007704226416535673,0.0037511235306737943,0.007188168354332447,-0.003992458739958238,0.002658807115949456,6.16876574992968e-05,7.587297867605636e-05
V1,-0.35,0.00153657840564847,0.00708255087956786,0.0040758312272373585,0.007563928180024959,-0.004639639779634308,0.0022597889328608276,6.303824710976044e-05,7.70846142509259e-05
V1,-0.34,0.0023044278495945036,0.008222198238945563,0.004220674475072884,0.007561707872082479,-0.0040414771523501255,0.003054837905801824,6.056010937615475e-05,7.31624585872695e-05
V1,-0.33,0.001976466563064605,0.0067139466700609765,0.004477905575186014,0.0077275913645280525,-0.004906702990047052,0.0014512247100356018,5.9396661789815086e-05,7.202355732569202e-05
